物料编码,物料版本,物料描述,物料类型,采购单位,库存单位,物料品牌,单价,成本中心,小类,最小采购量,安全库存,备注
10011,,喷嘴nozzle TGN01610-01,4,PCS,PCS,松下Panasonic,30,895835602,配件,20,5,
10012,,钻头drill 12_GB6135_3,4,PCS,PCS,/,20,895835602,刀具,10,5,
10013,,焊丝welding wire 1.2mm,4,KG,KG,林肯Lincoln,,895835602,焊丝,2400,1200,
10014,,焊丝welding wire 1.6mm,4,KG,KG,林肯Lincoln,,895835602,焊丝,1000,500,
10015,,焊丝welding wire 1.0mm,4,KG,KG,林肯Lincoln,,895835602,焊丝,1000,500,
10016,,焊丝welding wire 4.0mm,4,KG,KG,林肯Lincoln,,895835603,焊丝,1000,500,
10017,,焊丝welding wire 2.0mm,4,KG,KG,林肯Lincoln,,895835603,焊丝,500,100,
10018,,焊丝welding wire MW-70MC,4,KG,KG,/,,895835603,焊丝,2400,1200,此物料待定
10019,,焊丝welding wire 3.2mm,4,KG,KG,林肯Lincoln,,895835603,焊丝,2400,1200,
10020,,埋弧焊_焊剂 SHIO-0019/16,4,KG,KG,林肯Lincoln,,895835603,焊剂,1000,500,
10021,,铁砂 G25,4,KG,KG,/,,895835603,铁砂,0,0,物料 消耗完毕，废弃此物料 
10022,,铁砂 G40,4,KG,KG,/,,895835603,铁砂,1000,500,申请采购中
10023,,铁砂 G18,4,KG,KG,/,,895835603,铁砂,0,0,物料 消耗完毕，废弃此物料 
10024,,防飞溅液Anti-Spatter Spray ,4,PCS,PCS,宾采尔BINZEL,,895835602,配件,12,12,采购中
10025,,JOTA AY30T RAL 22175快干丙烯酸底面漆（橙色，面漆/底漆） 20,4,L,L,JOTUN,1780,895835602,油漆,,200,
10026,,JOTA AY30T RAL 6029快干丙烯酸底面漆（绿色，面漆/底漆） 20,4,L,L,JOTUN,1580,895835602,油漆,,20,
10027,,Jotun Thinner No.7佐敦7号稀释剂20 20,4,L,L,JOTUN,420,895835602,油漆,,200,
10028,,Barrier 80环氧富锌底漆（底漆/灰色） 9,4,L,L,JOTUN,891,895835602,油漆,,30,
10029,,Penguard Midcoat M20快干环氧云铁中间漆M20（灰色） 20,4,L,L,JOTUN,630,895835602,油漆,,20,
10030,,Jotun Thinner No.17佐敦17号稀释剂20 20,4,L,L,JOTUN,420,895835602,油漆,,20,
10031,,Hardtop XP RAL 22175/KM9脂肪族聚氨酯面漆（橙色） 20,4,L,L,JOTUN,1580,895835602,油漆,,20,
10032,,Jotun Thinner No.10佐敦10号稀释剂 20,4,L,L,JOTUN,420,895835602,油漆,,20,
10033,,Jota AK20T RAL 7035快干醇酸（面漆） 20,4,L,L,JOTUN,700,895835602,油漆,,20,
10034,,润滑脂 LGEP2/18,4,KG,KG,SKF,,895835603,油品,180,270,
10035,,润滑脂 V100  2,4,L,L,壳牌,,,油品,,,
10036,,Blaser水溶性金属加工液 208,4,L,L,,,895835603,油品,208,208,
10037,, 钻头 5.0mm,4,PCS,PCS,Dormer Tools,,,刀具,10,10,
10038,, 钻头 6.8mm,4,PCS,PCS,Dormer Tools,,,刀具,10,10,
10039,, 钻头 8.5mm,4,PCS,PCS,Dormer Tools,,,刀具,10,10,
10040,, 钻头 10.3mm,4,PCS,PCS,Dormer Tools,,,刀具,10,10,
10041,, 钻头 14.0mm,4,PCS,PCS,Dormer Tools,,,刀具,5,5,
10042,, 钻头 17.5mm,4,PCS,PCS,Dormer Tools,,,刀具,5,5,
10043,, 钻头 21.0mm,4,PCS,PCS,Dormer Tools,,,刀具,5,5,
10044,, 钻头 12.1mm,4,PCS,PCS,Dormer Tools,,,刀具,5,5,
10045,, 钻头 A100*25（套装）,4,PCS,PCS,Dormer Tools,,,刀具,1,3,物料 消耗完毕，废弃此物料 
10046,,T-Max? P车削方刀杆 DDJNL 3232P 15,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10047,,T-Max? P车削方刀杆 DDJNR 3232P 15,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10048,,T-Max? P车削方刀杆 DSKNL 3232P 15,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10049,,T-Max? P车削方刀夹 PCLNL 16CA-12   ,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10050,,T-Max? P刀具附件 391 530-c4,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10051,,T-Max? P车削方刀柄 DSSNR 4040S 19,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10052,,T-Max? P车削方刀杆 MSSNL 4040S 25 ,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10053,,T-Max? P车削方刀杆 DDJNR 2525M 11,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10054,,Coromant Capto? - ER弹簧夹头 C4-391.14-25 052,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10055,,ER夹套 393.15-25 08,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10056,,ER夹套 393.15-25 06,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10057,,ER夹套 393.15-25 10,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10058,,ER夹套 393.15-25 12,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10059,,ER夹套 393.15-25 14,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10060,,T-Max? P刀具附件 5533 051-03,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10061,,快换接柄 393.03-SES2 D140*112,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10062,,快换接柄 393.03-SES2 D140*100,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10063,,CoroDrill? 460整体硬质合金钻头 460.1-0510-026A1-XM GC34,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10064,,CoroDrill? 461整体硬质合金钻头 460.1-0690-35A1-XM GC34,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10065,,CoroDrill? 462整体硬质合金钻头 460.1-0870-044A1-XM GC34,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10066,,CoroDrill? 463整体硬质合金钻头 460.1-1400-063A1-XM GC34,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10067,,CoroDrill? 464整体硬质合金钻头 460.1-1040-052A1-XM GC34,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10068,,Coromant Capto? - 快换攻丝夹头 C5-391.61-02 129,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10069,,CoroDrill? 870可换头钻头 870-2100-21L 25-5,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10070,,CoroDrill? 870可换头钻头 870-1700-17L 20-5,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10071,,刀板刀架 151.2-3232-25,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10072,,T-Max? P车削方刀杆 MTENN 3232P 22 M1,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10073,,CoroCut? 1-2切断刀板 N123 G55 25-A2,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10074,,CoroTurn? 107车削刀片 TCMT 11 03 04-PM 4225,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10075,,T-Max? P车削刀片 DNMG 1104 04-PM 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10076,,CoroMill? 390铣削刀片 R390-18 06 12 M-PM 4230 ,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10077,,CoroTurn? 107车削刀片 TCGT 11 03 04L-K 1125,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10078,,CoroCut? 1-2切断刀片 N123 G2-0300-0002-CM 1145,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,10,
10079,,T-Max? P车削刀片 CNMG 12 04 08-PM 4325 ,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10080,,CoroTurn? 107车削刀片 TCMT 16 T3 08-PM 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10081,,T-Max? P车削刀片 SNMG 15 06 12-PM 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10082,,T-Max? P车削刀片 DNMX 11 04 08-WM 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10083,,T-Max? P车削刀片 SNMG 12 04 08-PR 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10084,,T-Max? P车削刀片 TNMG 27 06 08-PR 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10085,,T-Max? P车削刀片 TNMG 27 06 12-PR 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,20,10,
10086,,T-Max?长刃铣削刀片 LDHT 19 04 00-PL 1030,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10087,,CoroMill? 345铣削刀片 345R-1305M-PM 4230,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10088,,T-Max? P车削刀片 SNMG 19 06 12-QM 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10089,,T-Max? P车削刀片 DNMG 15 06 08-PM 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10090,,CoroTurn? 107车削刀片 TCMT 11 03 04-PE 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10091,,CoroCut? 1-2切断刀片 L123J2-0500-0504-CR 1125,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10092,,CoroTurn? 107车削刀片 TCMX 11 03 04-WM 4315,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,10,
10093,,T-Max? P车削刀片 TNMG 22 04 08-PM 4235,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10094,,T-Max? P车削刀片 SNMG 25 07 16-PR 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,10,
10095,,CoroDrill? 870刀头 870-1780-17-PM,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,20,10,
10096,,CoroDrill? 870刀头 870-2120-21-PM,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,20,10,
10097,,T-Max? P车削刀片 CNMG 12 04 08-PF 4215,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,10,
10098,,T-Max? P车削刀片 CNMG 12 04 08-PR 4225,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,10,
10099,,T-Max? P车削刀片 DNMG 15 06 08-PM 4225,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,10,
10100,,T-Max? P车削刀片 DNMG 15 06 12-PM 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,10,
10101,,车削的T-Max? P切削单元 C6-DCLNL-45065-16,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10102,,车削的T-Max? P切削单元 C6-DCLNL-45065-15,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10103,,Coromant Capto?加长接杆 C6-391.01-63 100A,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10104,,T-Max? P刀具附件 391.540-C8,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10105,,T-Max? P刀具附件 391.540-C4,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10106,,车削的T-Max? P切削单元 C6-DDJNR-45065-15,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10107,,T-Max? P车削切削头 570-DDUNR-40-15,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10108,,T-Max? P车削刀夹 PCLNR 16CA-12,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10109,,车削的T-Max? P切削单元 C5-DCLNR-17090-12,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10110,,T-Max? P刀具附件 391.510-140 50,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10111,,T-Max? P刀具附件 391.530-C5,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10112,,T-Max? P刀具附件 391.530-C8,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10113,,Coromant Capto? - CoroTurn? SL减振接杆 C5-570-3C 40 194,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10114,,T-Max? P刀具附件 391.530-C6,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10115,,CoroMill? 495倒角铣刀 495-025A25-3009H,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10116,,T-Max? P刀具附件 391.540-C5,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10117,,T-Max? P刀具配件 C6-CP-01,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10118,,T-Max? P刀具配件 C5-CP-01,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10119,,T-Max? P刀具配件 3021-010-030,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10120,,CoroMill? 390方肩铣刀 R390-063C8-57M MAX,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10121,,CoroMill? 390方肩铣刀 R390-100C8-71M,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10122,,MAS-BT 403 - Coromant Capto?接柄 C8-390B.58-50 070,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10123,,MAS-BT 404 - Coromant Capto?接柄 C4-390B.58-50 040,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10124,,MAS-BT 403 - Coromant Capto?接柄 C5-390B.58-50 040,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10125,,Coromant Capto? - 快换攻丝夹头 C5-391.61-01 097,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10126,,Coromant Capto?钻夹头 C5-391.32-123 103,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10127,,/ BT50-MAS403-MK3,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10128,,U-Max?方肩铣刀 R215-080C8-15 0L,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10129,,/ BT50-MAS403-MK4,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10130,,CoroMill? 345面铣刀 345-100C8-13H ,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10131,,CoroMill? 346面铣刀 345-040C4-13M,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10132,,焊接分流器 TGR1001,4,PCS,PCS,松下Panasonic,,895835602,配件,20,10,
10133,,钻头 3.0mm,4,PCS,PCS,/,,895835602,配件,50,30,
10134,,西卡密封胶 11FC,4,PCS,PCS,/,,895835603,配件,20,20,
10135,,焊嘴防堵剂 BD-A102型,4,PCS,PCS,贝多,,895835602,配件,5,2,
10136,,T-Max? P车削刀片 DNMG 11 04 08-PM 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10137,,CoroMill? 495倒角铣刀 495-09T3M-PM 1030,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10138,,495-09T3M-PM 1030 LEHT 18 04 16R-PL2 1030,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10139,,T-Max? P车削刀片 CNMG 16 06 12-PM 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10140,,CoroTurn? 107切削单元 C6-SRSCR-45065-10HP,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10141,,CoroTurn? 107切削单元 C5-SRSCR-35060-10HP,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10142,,CoroTurn? 107切削单元 C5-SRSCL-35060-10HP,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10143,,CoroTurn? 107切削单元 C6-SRDCN-00100-10,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10144,,CoroTurn? 107切削单元 C6-SRSCL-45065-10HP,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10145,,CoroTurn? 107车削刀片 RCMT 10 T3 M0 4235,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,30,20,
10146,,不锈钢攻牙油 /,4,瓶,瓶,SKS,,895835603,耗材,10,2,
10147,,/ BT50-MAS403-MK3,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10148,,/ BT50-MAS403-MK4,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,2,
10149,,电镀色手摇自喷漆 /,4,瓶,瓶,三和,,895835602,油漆,5,5,
10150,,WD40 /,4,瓶,瓶,/,,895835602,耗材,5,5,
10151,,螺纹锁固剂 242,4,瓶,瓶,LOCTITE,,895835603,耗材,5,3,
10152,,焊接分流器 30.0145,4,PCS,PCS,林肯,,895835603,配件,20,10,
10153,,/ 265.2-821,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10154,,/ A34-R826C-E 017,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10155,,/ R825C-AF23STUC1103A,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,2,1,
10156,,铁砂 G16,4,KG,KG,/,,895835603,配件,1000,1000,
10157,,润滑油 LHMF  300/1,4,L,L,SKF,,,油品,20,15,
10158,,钻头 10MM,4,PCS,PCS,上工,,895835603,刀具,20,10,
10159,,钻头 11MM,4,PCS,PCS,上工,,895835603,刀具,20,10,
10160,,钻头 12MM,4,PCS,PCS,上工,,895835603,刀具,20,10,
10161,,钻头 13MM,4,PCS,PCS,上工,,895835603,刀具,20,10,
10162,,钻头 14MM,4,PCS,PCS,上工,,895835603,刀具,20,10,
10163,,钻头 15MM,4,PCS,PCS,上工,,895835603,刀具,20,10,
10164,,钻头 16MM,4,PCS,PCS,上工,,895835603,刀具,20,10,
10165,,刀垫 5322 234-03,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,,,
10166,,刀垫 5322 266-02,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,,,
10167,,刀垫 5322 425-04,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,,,
10168,,刀垫 5322 267-01,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,,,
10169,,刀垫 5322 234-04,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,,,
10170,,刀垫 181.38-852,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,,,
10171,,刀垫 5322 315-05,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,,,
10172,,刀片 CNMG 16 06 08-PM 4325,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,,,
10173,,刀片 TCMT 11 03 08-PM 4225,4,PCS,PCS,山特维克Sandvik,,895835603,刀具,,,
10174,,防飞溅液 192.0198.0,4,瓶,瓶,宾采儿,,895835603,焊接,,,
10175,,泄压阀 729832A,4,PCS,PCS,SKF,,895835603,配件,5,2,
10176,,刀片 XOMX120408TR-ME08， MP2500,4,PCS,PCS,高山,,895835603,刀具,20,10,
10177,,刀杆 E341655252755,4,PCS,PCS,高山,,895835603,刀具,1,1,
